Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","001","World","5110","Area","6621","Arable land","1961","1961","1000 ha","1265599.377","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1962","1962","1000 ha","1266763.8908","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1963","1963","1000 ha","1271988.8673","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1964","1964","1000 ha","1272786.4049","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1965","1965","1000 ha","1275785.0201","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1966","1966","1000 ha","1274991.552","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1967","1967","1000 ha","1276547.5457","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1968","1968","1000 ha","1287728.99","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1969","1969","1000 ha","1295174.3939","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1970","1970","1000 ha","1292831.327","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1971","1971","1000 ha","1289115.6177","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1972","1972","1000 ha","1294191.7073","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1973","1973","1000 ha","1295283.9116","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1974","1974","1000 ha","1297034.4476","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1975","1975","1000 ha","1296862.8152","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1976","1976","1000 ha","1302401.7164","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1977","1977","1000 ha","1307610.8219","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1978","1978","1000 ha","1317787.1409","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1979","1979","1000 ha","1322704.0291","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1980","1980","1000 ha","1324863.0923","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1981","1981","1000 ha","1328029.3105","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1982","1982","1000 ha","1337800.4113","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1983","1983","1000 ha","1342666.9774","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1984","1984","1000 ha","1358230.0573","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1985","1985","1000 ha","1369959.733","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1986","1986","1000 ha","1370924.8201","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1987","1987","1000 ha","1371066.6185","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1988","1988","1000 ha","1368425.398","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1989","1989","1000 ha","1368061.2656","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1990","1990","1000 ha","1367896.6857","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1991","1991","1000 ha","1369910.0343","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1992","1992","1000 ha","1365666.377","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1993","1993","1000 ha","1363924.7216","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1994","1994","1000 ha","1360829.3879","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1995","1995","1000 ha","1360382.8228","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1996","1996","1000 ha","1359369.7095","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1997","1997","1000 ha","1362817.7149","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1998","1998","1000 ha","1361864.0836","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","1999","1999","1000 ha","1362318.2324","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2000","2000","1000 ha","1358503.5245","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2001","2001","1000 ha","1358222.3264","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2002","2002","1000 ha","1354981.9498","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2003","2003","1000 ha","1357767.9473","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2004","2004","1000 ha","1359605.9452","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2005","2005","1000 ha","1362609.2363","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2006","2006","1000 ha","1359579.7074","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2007","2007","1000 ha","1358024.704","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2008","2008","1000 ha","1357565.4695","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2009","2009","1000 ha","1363079.1301","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2010","2010","1000 ha","1363688.3348","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2011","2011","1000 ha","1372005.1326","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2012","2012","1000 ha","1376930.3304","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2013","2013","1000 ha","1379673.2386","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2014","2014","1000 ha","1381587.4996","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2015","2015","1000 ha","1384906.495","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2016","2016","1000 ha","1386099.0568","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2017","2017","1000 ha","1387502.3663","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2018","2018","1000 ha","1387121.3218","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2019","2019","1000 ha","1383006.0647","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2020","2020","1000 ha","1384368.0219","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2021","2021","1000 ha","1384689.1778","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2022","2022","1000 ha","1382246.249","B","Time series break",""
"RL","Land Use","001","World","5110","Area","6621","Arable land","2023","2023","1000 ha","1380414.4097","E","Estimated value",""
