Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1950","1950","1000 No","2493091.968","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1951","1951","1000 No","2536926.149","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1952","1952","1000 No","2584085.448","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1953","1953","1000 No","2634105.338","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1954","1954","1000 No","2685893.956","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1955","1955","1000 No","2740212.881","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1956","1956","1000 No","2795409.078","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 No","2852617.418","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 No","2911248.751","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 No","2965949.431","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1960","1960","1000 No","3015469.977","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1961","1961","1000 No","3064868.758","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1962","1962","1000 No","3123373.398","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1963","1963","1000 No","3192806.91","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1964","1964","1000 No","3264486.418","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1965","1965","1000 No","3334532.816","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1966","1966","1000 No","3404040.285","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1967","1967","1000 No","3473412.074","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 No","3545186.482","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 No","3619490.826","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 No","3694683.049","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1971","1971","1000 No","3769847.127","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1972","1972","1000 No","3844916.943","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1973","1973","1000 No","3920804.307","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1974","1974","1000 No","3996415.363","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1975","1975","1000 No","4070734.545","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1976","1976","1000 No","4144245.643","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1977","1977","1000 No","4217863.059","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1978","1978","1000 No","4292096.762","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 No","4368538.787","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 No","4447605.493","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 No","4528776.564","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 No","4612672.681","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1983","1983","1000 No","4697326.836","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1984","1984","1000 No","4782174.785","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1985","1985","1000 No","4868942.734","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1986","1986","1000 No","4958072.108","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1987","1987","1000 No","5049745.668","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1988","1988","1000 No","5141991.814","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1989","1989","1000 No","5234431.006","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1990","1990","1000 No","5327802.385","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1991","1991","1000 No","5418735.166","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1992","1992","1000 No","5505989.092","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1993","1993","1000 No","5591544.078","X","Figure from international organizations",""
"OA","Annual population","001","World","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1994","1994","1000 No","5675550.545","X","Figure from international organizations",""
